treatment,site,rep,date,interval,frass.N.m2.d,litter.N.m2.d
high,Hurley,1,14-Jun-15,1,8.01,8.27
high,Hurley,2,14-Jun-15,1,9.13,5.65
high,Hurley,3,14-Jun-15,1,6.38,9.02
high,Hovey,1,14-Jun-15,1,16.19,9.73
high,Hovey,2,14-Jun-15,1,20.16,9.07
high,Hovey,3,14-Jun-15,1,14.31,8.13
high,Cougar,1,14-Jun-15,1,8.37,3.16
high,Cougar,2,14-Jun-15,1,7.73,4.25
high,Cougar,3,14-Jun-15,1,4.01,5.89
high,Blue,1,14-Jun-15,1,23.15,4.21
high,Blue,2,14-Jun-15,1,23.57,8.57
high,Blue,3,14-Jun-15,1,15.64,5.23
high,Hurley,1,21-Jun-15,2,24.01,3.2
high,Hurley,2,21-Jun-15,2,21.11,3.61
high,Hurley,3,21-Jun-15,2,21.71,3.81
high,Hovey,1,21-Jun-15,2,21.4,5.98
high,Hovey,2,21-Jun-15,2,23.05,9.77
high,Hovey,3,21-Jun-15,2,31.7,9.26
high,Cougar,1,21-Jun-15,2,23.44,2.02
high,Cougar,2,21-Jun-15,2,16.68,2.09
high,Cougar,3,21-Jun-15,2,16.95,4.67
high,Blue,1,21-Jun-15,2,22,5.21
high,Blue,2,21-Jun-15,2,22,5.21
high,Blue,3,21-Jun-15,2,19.23,3.04
high,Hurley,1,29-Jun-15,3,0.65,4.61
high,Hurley,2,29-Jun-15,3,6.68,4.51
high,Hurley,3,29-Jun-15,3,3.8,0.38
high,Hovey,1,29-Jun-15,3,4.56,1.87
high,Hovey,2,29-Jun-15,3,0.42,0.13
high,Hovey,3,29-Jun-15,3,5.79,1.57
high,Cougar,1,29-Jun-15,3,9.8,1.88
high,Cougar,2,29-Jun-15,3,29.85,2.43
high,Cougar,3,29-Jun-15,3,20.77,1.6
high,Blue,1,29-Jun-15,3,4.03,2.79
high,Blue,2,29-Jun-15,3,3.92,3.11
high,Blue,3,29-Jun-15,3,4.54,1.44
high,Hurley,1,6-Jul-15,4,2.94,3.4
high,Hurley,2,6-Jul-15,4,3.26,6.15
high,Hurley,3,6-Jul-15,4,4.83,5.11
high,Hovey,1,6-Jul-15,4,6.51,11.75
high,Hovey,2,6-Jul-15,4,20.49,6.01
high,Hovey,3,6-Jul-15,4,3.54,3.79
high,Cougar,1,6-Jul-15,4,3.2,3.44
high,Cougar,2,6-Jul-15,4,4.85,3.54
high,Cougar,3,6-Jul-15,4,6.89,6.6
high,Blue,1,6-Jul-15,4,3.46,5.02
high,Blue,2,6-Jul-15,4,2.51,6.63
high,Blue,3,6-Jul-15,4,1.21,3.13
low,Moonbeam,1,6-Jul-15,4,0.1,2.67
low,Moonbeam,2,6-Jul-15,4,0.46,5.99
low,Moonbeam,3,6-Jul-15,4,0.71,3.08
low,Jungle,1,6-Jul-15,4,0.37,8.8
low,Jungle,2,6-Jul-15,4,0.13,4.71
low,Jungle,3,6-Jul-15,4,0.47,7.31
low,Standup,1,6-Jul-15,4,0.03,2.26
low,Standup,2,6-Jul-15,4,0.73,4.99
low,Standup,3,6-Jul-15,4,0.28,5.22
low,Jack,1,6-Jul-15,4,0.75,6.38
low,Jack,2,6-Jul-15,4,0.34,1.55
low,Jack,3,6-Jul-15,4,0.76,2.8
high,Hurley,1,23-Jul-15,5,1.27,3.88
high,Hurley,2,23-Jul-15,5,0.29,3.1
high,Hurley,3,23-Jul-15,5,0.5,2.07
high,Hovey,1,23-Jul-15,5,1.04,9.32
high,Hovey,2,23-Jul-15,5,0.75,7.46
high,Hovey,3,23-Jul-15,5,0.67,4.24
high,Cougar,1,23-Jul-15,5,1.13,3.48
high,Cougar,2,23-Jul-15,5,1.49,3.03
high,Cougar,3,23-Jul-15,5,2.85,6.19
high,Blue,1,23-Jul-15,5,1.19,6.59
high,Blue,2,23-Jul-15,5,0.9,8.13
high,Blue,3,23-Jul-15,5,0.26,6.74
low,Moonbeam,1,23-Jul-15,5,0.1,9.05
low,Moonbeam,2,23-Jul-15,5,0.18,2.85
low,Moonbeam,3,23-Jul-15,5,0.65,2.24
low,Jungle,1,23-Jul-15,5,0.13,6.5
low,Jungle,2,23-Jul-15,5,0.04,8.73
low,Jungle,3,23-Jul-15,5,0.2,14.73
low,Standup,1,23-Jul-15,5,0.34,3.96
low,Standup,2,23-Jul-15,5,0.3,6.4
low,Standup,3,23-Jul-15,5,0.7,7.32
low,Jack,1,23-Jul-15,5,0.38,4.28
low,Jack,2,23-Jul-15,5,0.3,2.55
low,Jack,3,23-Jul-15,5,0.56,3.86
high,Hurley,1,28-Aug-15,6,0.4,2.56
high,Hurley,2,28-Aug-15,6,0.34,2.46
high,Hurley,3,28-Aug-15,6,0.36,1.51
high,Hovey,1,28-Aug-15,6,0.92,5.12
high,Hovey,2,28-Aug-15,6,0.42,5.2
high,Hovey,3,28-Aug-15,6,0.47,3.92
high,Cougar,1,28-Aug-15,6,0.64,4.18
high,Cougar,2,28-Aug-15,6,0.71,2.61
high,Cougar,3,28-Aug-15,6,1.7,4.25
high,Blue,1,28-Aug-15,6,0.79,5.12
high,Blue,2,28-Aug-15,6,0.63,5.27
high,Blue,3,28-Aug-15,6,0.43,3.45
low,Moonbeam,1,28-Aug-15,6,0.08,6
low,Moonbeam,2,28-Aug-15,6,0.15,2.39
low,Moonbeam,3,28-Aug-15,6,1.05,1.54
low,Jungle,1,28-Aug-15,6,0.19,13.77
low,Jungle,2,28-Aug-15,6,0.12,2.08
low,Jungle,3,28-Aug-15,6,0.17,4.22
low,Standup,1,28-Aug-15,6,0.54,9.6
low,Standup,2,28-Aug-15,6,0.7,4.61
low,Standup,3,28-Aug-15,6,0.12,2.79
low,Jack,1,28-Aug-15,6,0.48,5.36
low,Jack,2,28-Aug-15,6,0.1,1.55
low,Jack,3,28-Aug-15,6,0.44,4.32
high,Hurley,1,11-Oct-15,7,0,9.5
high,Hurley,2,11-Oct-15,7,0,11.02
high,Hurley,3,11-Oct-15,7,0,11.27
high,Hovey,1,11-Oct-15,7,0.01,23.99
high,Hovey,2,11-Oct-15,7,0.01,21.96
high,Hovey,3,11-Oct-15,7,0,14.64
high,Cougar,1,11-Oct-15,7,0.04,19.99
high,Cougar,2,11-Oct-15,7,0.03,19.06
high,Cougar,3,11-Oct-15,7,0.03,11.54
high,Blue,1,11-Oct-15,7,0.01,20.19
high,Blue,2,11-Oct-15,7,0.01,15.38
high,Blue,3,11-Oct-15,7,0,10.35
low,Moonbeam,1,16-Oct-15,7,0,14.6
low,Moonbeam,2,16-Oct-15,7,0.01,22.48
