date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
11-Sep-15,Jungle,1,JC,1,Low,0.010422188,0.031385939,1.383778423,0.041808127,243.5,,
11-Sep-15,Jungle,1,JC,2,Low,,,,,,,
11-Sep-15,Jungle,1,JC,3,Low,0.003388799,0.008798281,0.515387118,0.01218708,37,,
11-Sep-15,Moonbeam,1,MB,1,Low,0.010274408,0.035721914,1.26569163,0.045996322,121.4,,
11-Sep-15,Moonbeam,1,MB,2,Low,0.006690751,0.024474212,1.356882432,0.031164963,137.5,,
11-Sep-15,Moonbeam,1,MB,3,Low,0.008459489,0.031887805,1.244313999,0.040347294,105.8,,
11-Sep-15,Jack,1,JA,1,Low,0.015775507,0.077782709,1.157567206,0.093558215,87,,
11-Sep-15,Jack,1,JA,2,Low,0.007992136,0.039401034,1.347259216,0.04739317,184.9,,
11-Sep-15,Jack,1,JA,3,Low,0.013074833,0.034386065,1.273800688,0.047460898,142.7,,
11-Sep-15,Stand Up,1,SU,1,Low,0.002731179,0.004045316,0.326360287,0.006776495,22.1,0.56,17.26834515
11-Sep-15,Stand Up,1,SU,2,Low,0.022053372,0.066678924,1.346241754,0.088732297,273.4,0.54,16.65161854
11-Sep-15,Stand Up,1,SU,3,Low,0.008939773,0.029157064,1.128292761,0.038096837,116.1,,
11-Sep-15,Hovey,1,HO,1,High,0.019326837,0.038330879,1.290156654,0.057657716,136.5,1.06,32.68651046
11-Sep-15,Hovey,1,HO,2,High,0.013492311,0.035020777,1.368601837,0.048513088,173.5,0.39,
11-Sep-15,Hovey,1,HO,3,High,0.007824036,0.012481092,1.260534304,0.020305128,51.7,,
11-Sep-15,Hurley,1,HU,1,High,0.252665412,0.035622279,1.299939601,0.28828769,61.5,,
11-Sep-15,Hurley,1,HU,2,High,0.022457919,0.025902316,1.391651168,0.048360235,60.4,,
11-Sep-15,Hurley,1,HU,3,High,0.023654935,0.048497354,1.580920877,0.072152289,103.7,,
11-Sep-15,Blue,1,BC,1,High,0.041012582,0.082657451,1.378262251,0.123670032,266.8,,
11-Sep-15,Blue,1,BC,2,High,,,,0,,,
11-Sep-15,Blue,1,BC,3,High,0.595249,,14.2,0.595249,240.2,,
11-Sep-15,Cougar,1,BG,1,High,,,,,,,
11-Sep-15,Cougar,1,BG,2,High,0.1572921,0.236737678,1.229732573,0.394029778,330.2,,
11-Sep-15,Cougar,1,BG,3,High,0.128583656,0.132958442,2.354375027,0.261542098,230.3,,
15-Oct-15,Jungle,2,JC,1,Low,0.01926126,0.050416254,1.337064909,0.069677513,213.1,,
15-Oct-15,Jungle,2,JC,2,Low,0.035948357,0.107820862,1.295882883,0.143769219,540,,
15-Oct-15,Jungle,2,JC,3,Low,,,,,,,
15-Oct-15,Jack,2,JA,1,Low,0.009335083,0.123419189,1.183419479,0.132754272,648.8,,
15-Oct-15,Jack,2,JA,2,Low,0.011333804,0.031622112,1.317065774,0.042955915,172.2,,
15-Oct-15,Jack,2,JA,3,Low,0.015402363,0.032987482,1.222170537,0.048389845,209,,
15-Oct-15,Moonbeam,2,MB,1,Low,0.014085277,0.021558961,0.676034433,0.035644238,71.2,,
15-Oct-15,Moonbeam,2,MB,2,Low,0.00778155,0.024108883,1.325588381,0.031890433,140.2,,
15-Oct-15,Moonbeam,2,MB,3,Low,0.014906377,0.029788087,1.519962902,0.044694464,114,,
15-Oct-15,Stand Up,2,SU,1,Low,0.017939555,0.057272628,1.047904555,0.075212183,258,0.58,17.88507176
15-Oct-15,Stand Up,2,SU,2,Low,,,,,,0.57,17.57670846
15-Oct-15,Stand Up,2,SU,3,Low,0.012383963,0.036858492,0.605759575,0.049242455,123,,
11-Oct-15,Blue,2,BC,1,High,0.294505534,0.028027866,0.595204233,0.3225334,21.8,,
11-Oct-15,Blue,2,BC,2,High,,,,,,,
11-Oct-15,Blue,2,BC,3,High,,,,,,,
11-Oct-15,Hurley,2,HU,1,High,0.005474339,0.027396843,1.278008383,0.032871182,91.4,,
11-Oct-15,Hurley,2,HU,2,High,0.014166555,0.043286805,1.365015559,0.05745336,186.9,,
11-Oct-15,Hurley,2,HU,3,High,0.063499107,0.068756502,1.336294701,0.132255609,287,,
11-Oct-15,Cougar,2,BG,1,High,0.009261194,0.017525583,1.103674571,0.026786776,65.7,,
11-Oct-15,Cougar,2,BG,2,High,0.025359943,0.065723165,1.36296532,0.091083108,161.3,,
11-Oct-15,Cougar,2,BG,3,High,,,,,,,
11-Oct-15,Hovey,2,HO,1,High,0.01169494,0.021558961,1.26343571,0.033253902,60.3,0.5,15.41816531
11-Oct-15,Hovey,2,HO,2,High,0.014306946,0.041711093,1.341565808,0.056018039,129.8,0.53,16.34325523
11-Oct-15,Hovey,2,HO,3,High,0.014225667,0.049205871,1.28957681,0.063431538,141.9,,
29-Oct-15,Cougar,3,BG,1,High,0.06665273,0.032319076,0.249258073,0.098971806,68.2,,
29-Oct-15,Cougar,3,BG,2,High,0.055584498,0.011292531,2.191070993,0.066877029,151.7,,
29-Oct-15,Cougar,3,BG,3,High,,,,,,,
29-Oct-15,Hurley,3,HU,1,High,0.081702139,0.027239907,0.135236495,0.108942046,110,,
29-Oct-15,Hurley,3,HU,2,High,0.080590218,0.019860307,2.205039491,0.100450525,99.3,,
29-Oct-15,Hurley,3,HU,3,High,0.0993044,0.056887374,2.431244984,0.156191773,367.1,,
29-Oct-15,Hovey,3,HO,1,High,0.071461539,0.01621606,0.101132615,0.087677599,105.6,0.81,24.97742781
29-Oct-15,Hovey,3,HO,2,High,0.142712224,0.027103248,0.13204595,0.169815472,96.6,0.92,28.36942417
29-Oct-15,Hovey,3,HO,3,High,0.088858053,0.045943245,0.170509114,0.134801298,117.4,,
29-Oct-15,Blue,3,BC,1,High,0.073564566,0.067030527,2.236172113,0.140595093,161.3,,
29-Oct-15,Blue,3,BC,2,High,0.085551725,0.02282885,0.235206899,0.108380575,70.1,,
29-Oct-15,Blue,3,BC,3,High,0.085224302,0.025429172,3.245134622,0.110653474,4,,
