index,location,plot,time,date,year.month,pct.moisture,log.pct.moisture,pct.om,log.pct.om,phosphorous.mg.P.mg.soil,ammonia.mg.nh4.mg.soil,nitrate.mg.no3.mg.soil,impact,P,NH4,NO3,TN.inorg,N.P,log.N.P,net.mineralization,net.nitrification
1,Blue,1,1,9/10/2015,15-Sep,14.33,1.15624619,13.298,1.123786329,4.86E-05,1.28E-05,4.87E-07,High,4.86E-02,1.28E-02,4.87E-04,1.33E-02,1.24E-01,-9.07E-01,,
2,Blue,2,1,9/10/2015,15-Sep,21.44,1.331224781,22.404,1.350325564,0.000132421,2.07E-05,3.09E-07,High,1.32E-01,2.07E-02,3.09E-04,2.10E-02,7.18E-02,-1.14E+00,,
3,Blue,3,1,9/10/2015,15-Sep,3.658,0.563243701,9.372,0.97183228,8.35E-05,1.12E-05,1.84E-07,High,8.35E-02,1.12E-02,1.84E-04,1.13E-02,6.11E-02,-1.21E+00,,
4,Cougar,1,1,9/10/2015,15-Sep,8.773,0.943148129,8.249,0.916401304,0.00022989,3.88E-06,1.08E-06,High,2.30E-01,3.88E-03,1.08E-03,4.96E-03,9.74E-03,-2.01E+00,,
5,Cougar,2,1,9/10/2015,15-Sep,8.486,0.928703027,9.403,0.973266436,0.000263777,2.45E-06,1.65E-07,High,2.64E-01,2.45E-03,1.65E-04,2.61E-03,4.46E-03,-2.35E+00,,
6,Cougar,3,1,9/10/2015,15-Sep,4.74,0.675778342,9.235,0.9654369,0.000343138,5.29E-06,1.35E-07,High,3.43E-01,5.29E-03,1.35E-04,5.42E-03,7.14E-03,-2.15E+00,,
7,Hovey,1,1,9/10/2015,15-Sep,15.119,1.179523067,7.808,0.892539805,0.000148198,3.60E-06,,High,1.48E-01,3.60E-03,,3.60E-03,1.10E-02,-1.96E+00,,
8,Hovey,2,1,9/10/2015,15-Sep,15.332,1.185598811,5.943,0.77400573,0.000193099,2.85E-06,1.08E-07,High,1.93E-01,2.85E-03,1.08E-04,2.95E-03,6.90E-03,-2.16E+00,,
9,Hovey,3,1,9/10/2015,15-Sep,16.872,1.227166567,8.607,0.934851803,7.69E-06,2.07E-06,1.75E-07,High,7.69E-03,2.07E-03,1.75E-04,2.25E-03,1.32E-01,-8.79E-01,,
10,Hurley,1,1,9/10/2015,15-Sep,9.804,0.991403303,9.31,0.968949681,0.000129159,5.78E-06,2.78E-07,High,1.29E-01,5.78E-03,2.78E-04,6.06E-03,2.12E-02,-1.67E+00,,
11,Hurley,2,1,9/10/2015,15-Sep,33.837,1.529391851,7.178,0.856003454,,,,High,,,,,,,,
12,Hurley,3,1,9/10/2015,15-Sep,5.068,0.704836606,4.448,0.648164779,2.53E-05,1.07E-06,3.00E-07,High,2.53E-02,1.07E-03,3.00E-04,1.37E-03,2.45E-02,-1.61E+00,,
13,Jack,1,1,9/10/2015,15-Sep,10.492,1.020858282,11.256,1.051384084,6.28E-06,9.22E-07,1.29E-07,Low,6.28E-03,9.22E-04,1.29E-04,1.05E-03,7.55E-02,-1.12E+00,,
14,Jack,2,1,9/10/2015,15-Sep,11.377,1.056027758,15.991,1.203875623,1.80E-05,1.70E-06,4.36E-07,Low,1.80E-02,1.70E-03,4.36E-04,2.14E-03,5.37E-02,-1.27E+00,,
15,Jack,3,1,9/10/2015,15-Sep,8.759,0.942454526,8.123,0.909716453,4.54E-05,2.47E-06,5.37E-08,Low,4.54E-02,2.47E-03,5.37E-05,2.53E-03,2.52E-02,-1.60E+00,,
16,Moonbeam,1,1,9/10/2015,15-Sep,9.209,0.964212473,7.946,0.900148561,8.07E-05,2.90E-06,,Low,8.07E-02,2.90E-03,,2.90E-03,1.62E-02,-1.79E+00,,
17,Moonbeam,2,1,9/10/2015,15-Sep,10.435,1.018492453,9.466,0.9761665,1.40E-05,1.85E-06,1.63E-07,Low,1.40E-02,1.85E-03,1.63E-04,2.01E-03,6.48E-02,-1.19E+00,,
18,Moonbeam,3,1,9/10/2015,15-Sep,14.258,1.15405861,14.882,1.1726613,8.16E-05,2.75E-07,7.91E-09,Low,8.16E-02,2.75E-04,7.91E-06,2.83E-04,1.57E-03,-2.80E+00,,
19,Jungle,1,1,9/11/2015,15-Sep,9.321,0.969462508,10.922,1.038302172,1.67E-05,2.31E-05,4.87E-07,Low,1.67E-02,2.31E-02,4.87E-04,2.36E-02,6.38E-01,-1.95E-01,,
20,Jungle,2,1,9/11/2015,15-Sep,10.876,1.036469199,28.25,1.451018452,2.84E-05,1.56E-05,9.83E-08,Low,2.84E-02,1.56E-02,9.83E-05,1.57E-02,2.50E-01,-6.02E-01,,
21,Jungle,3,1,9/11/2015,15-Sep,7.646,0.883434294,10.197,1.008472419,9.17E-05,5.97E-06,1.88E-07,Low,9.17E-02,5.97E-03,1.88E-04,6.16E-03,3.03E-02,-1.52E+00,,
22,Standup,1,1,9/11/2015,15-Sep,4.385,0.641969598,9.313,0.969089603,1.25E-05,1.08E-06,2.44E-07,Low,1.25E-02,1.08E-03,2.44E-04,1.32E-03,4.77E-02,-1.32E+00,,
23,Standup,2,1,9/11/2015,15-Sep,,,,,,,,Low,,,,,,,,
24,Standup,3,1,9/11/2015,15-Sep,6.472,0.811038509,7.901,0.897682062,2.74E-06,1.06E-06,1.16E-07,Low,2.74E-03,1.06E-03,1.16E-04,1.18E-03,1.94E-01,-7.12E-01,,
25,Blue,1,2,10/11/2015,15-Oct,,,,,,,,High,,,,,,,,
26,Blue,2,2,10/11/2015,15-Oct,18.091,1.257462574,14.333,1.156337101,0.00014827,1.03E-05,4.68E-07,High,1.48E-01,1.03E-02,4.68E-04,1.08E-02,3.30E-02,-1.48E+00,,
27,Blue,3,2,10/11/2015,15-Oct,13.822,1.140570889,11.396,1.056752441,4.91E-05,1.05E-05,4.92E-07,High,4.91E-02,1.05E-02,4.92E-04,1.10E-02,1.01E-01,-9.96E-01,,
28,Cougar,1,2,10/11/2015,15-Oct,3.469,0.5402043,5.078,0.705692697,0.000124474,1.57E-06,1.82E-07,High,1.24E-01,1.57E-03,1.82E-04,1.76E-03,6.41E-03,-2.19E+00,,
29,Cougar,2,2,10/11/2015,15-Oct,12.888,1.110185527,13.736,1.137860282,0.000136587,1.61E-05,3.76E-07,High,1.37E-01,1.61E-02,3.76E-04,1.65E-02,5.44E-02,-1.26E+00,,
30,Cougar,3,2,10/11/2015,15-Oct,11.943,1.077113432,8.138,0.910517686,0.000132573,1.89E-05,1.06E-06,High,1.33E-01,1.89E-02,1.06E-03,1.99E-02,6.76E-02,-1.17E+00,,
31,Hovey,1,2,10/11/2015,15-Oct,12.758,1.105782598,6.943,0.841547165,1.47E-05,1.68E-06,1.43E-07,High,1.47E-02,1.68E-03,1.43E-04,1.82E-03,5.59E-02,-1.25E+00,,
32,Hovey,2,2,10/11/2015,15-Oct,14.653,1.16592655,6.576,0.817961805,0.000124096,6.22E-06,5.93E-07,High,1.24E-01,6.22E-03,5.93E-04,6.82E-03,2.48E-02,-1.61E+00,,
33,Hovey,3,2,10/11/2015,15-Oct,38.91,1.590061231,9.977,0.998999972,,,,High,,,,,,,,
34,Hurley,1,2,10/11/2015,15-Oct,6.043,0.781252594,5.458,0.737033531,3.15E-05,9.71E-07,4.65E-07,High,3.15E-02,9.71E-04,4.65E-04,1.44E-03,2.06E-02,-1.69E+00,,
35,Hurley,2,2,10/11/2015,15-Oct,16.858,1.22680605,21.364,1.329682569,7.05E-05,6.85E-06,2.30E-07,High,7.05E-02,6.85E-03,2.30E-04,7.08E-03,4.54E-02,-1.34E+00,,
36,Hurley,3,2,10/11/2015,15-Oct,13.74,1.137986733,9.272,0.967173423,0.000131305,3.97E-06,3.65E-07,High,1.31E-01,3.97E-03,3.65E-04,4.33E-03,1.49E-02,-1.83E+00,,
37,Jack,1,2,10/11/2015,15-Oct,3.902,0.591287265,15.616,1.1935698,8.62E-05,5.87E-07,2.03E-07,Low,8.62E-02,5.87E-04,2.03E-04,7.90E-04,4.14E-03,-2.38E+00,,
38,Jack,2,2,10/15/2015,15-Oct,11.726,1.06914989,6.989,0.84441504,9.17E-06,1.25E-06,3.16E-07,Low,9.17E-03,1.25E-03,3.16E-04,1.56E-03,7.68E-02,-1.11E+00,,
39,Jack,3,2,10/15/2015,15-Oct,8.404,0.924486044,8.751,0.942057684,3.35E-05,3.15E-06,1.15E-07,Low,3.35E-02,3.15E-03,1.15E-04,3.27E-03,4.41E-02,-1.36E+00,,
40,Jungle,1,2,10/15/2015,15-Oct,8.457,0.927216331,9.3,0.968482949,2.25E-05,1.40E-05,5.21E-07,Low,2.25E-02,1.40E-02,5.21E-04,1.45E-02,2.91E-01,-5.36E-01,,
41,Jungle,2,2,10/15/2015,15-Oct,13.578,1.132835804,25.977,1.414588994,0.000104264,3.29E-05,1.18E-06,Low,1.04E-01,3.29E-02,1.18E-03,3.41E-02,1.48E-01,-8.30E-01,,
