date,site.name,sample.event,site,type,rep,budworm,nh4.mg.l,no3.mg.l,srp.mg.l,din.mg.l,doc.mg.l,col.volume.l,col.volume.mm,nh4.flux,no3.flux,srp.flux,din.flux,doc.flux,net.nh4.flux,net.no3.flux,net.srp.flux,net.din.flux,net.doc.flux,net.h2o.flux,c.n,n.p,c.p
11-Sep-15,Jungle,1,JC,TF,1,Low,0.010422188,0.031385939,1.383778423,0.041808127,243.5,0.14,4.317086287,0.000449935,0.001354958,0.059738909,0.001804893,10.51210511,-0.01774334,-0.019797507,0.049106778,-0.037540847,6.517875204,-12.64289556,6794.930849,0.066900262,454.5826529
11-Sep-15,Jungle,1,JC,TF,2,Low,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-Sep-15,Jungle,1,JC,TF,3,Low,0.003388799,0.008798281,0.515387118,0.01218708,37,0.01,0.308363306,1.04E-05,2.71E-05,0.001589265,3.76E-05,0.114094423,-0.018182825,-0.021125334,-0.009042866,-0.039308159,-3.880135483,-16.65161854,3542.002402,0.052360015,185.4592986
11-Sep-15,Moonbeam,1,MB,TF,1,Low,0.010274408,0.035721914,1.26569163,0.045996322,121.4,0.4,12.33453225,0.0012673,0.004406131,0.156117142,0.005673431,14.97412215,-0.016925975,-0.016746334,0.145485011,-0.033672309,10.97989225,-4.625449594,3079.231729,0.080469046,247.7828401
11-Sep-15,Moonbeam,1,MB,TF,2,Low,0.006690751,0.024474212,1.356882432,0.031164963,137.5,0.14,4.317086287,0.000288845,0.001056573,0.058577785,0.001345418,5.935993645,-0.017904429,-0.020095892,0.047945654,-0.038000321,1.941763739,-12.64289556,5147.340216,0.050857857,261.7826902
11-Sep-15,Moonbeam,1,MB,TF,3,Low,0.008459489,0.031887805,1.244313999,0.040347294,105.8,0.13,4.008722981,0.000339117,0.001278294,0.049881101,0.001617411,4.241228914,-0.017854157,-0.019874171,0.03924897,-0.037728329,0.246999008,-12.95125886,3059.271645,0.071798949,219.6524888
11-Sep-15,Jack,1,JA,TF,1,Low,0.015775507,0.077782709,1.157567206,0.093558215,87,0.05,1.541816531,0.000243229,0.001199267,0.017847563,0.001442496,1.341380382,-0.017950046,-0.019953198,0.007215432,-0.037903244,-2.652849524,-15.41816531,1084.886021,0.178965522,194.1571936
11-Sep-15,Jack,1,JA,TF,2,Low,0.007992136,0.039401034,1.347259216,0.04739317,184.9,0.15,4.625449594,0.000369672,0.001822475,0.062316796,0.002192147,8.552456299,-0.017823603,-0.01932999,0.051684665,-0.037153593,4.558226393,-12.33453225,4551.640431,0.077892967,354.5407801
11-Sep-15,Jack,1,JA,TF,3,Low,0.013074833,0.034386065,1.273800688,0.047460898,142.7,0.42,12.95125886,0.001693355,0.004453428,0.164973224,0.006146784,18.4814464,-0.016499919,-0.016699037,0.154341094,-0.033198956,14.48721649,-4.008722981,3507.79993,0.082502693,289.4029421
11-Sep-15,Stand Up,1,SU,TF,1,Low,0.002731179,0.004045316,0.326360287,0.006776495,22.1,0.03,0.925089919,2.53E-05,3.74E-05,0.003019126,6.27E-05,0.204444872,-0.018168009,-0.021115042,-0.007613005,-0.039283051,-3.789785034,-16.03489192,3804.818664,0.045977087,174.9344789
