date,location,time,plot,impact,nh4,no3.no2,srp,din,doc,Volume in Collector (L),,units in mg L-1
11-Sep-15,Jungle,1,1,Low,0.010422188,0.02520023,1.383778423,0.035622417,243.5,0.14,,
11-Sep-15,Jungle,1,2,Low,,,,,,,,
11-Sep-15,Jungle,1,3,Low,0.003388799,0.007064269,0.515387118,0.010453067,37,0.01,,
11-Sep-15,Moonbeam,1,1,Low,0.010274408,0.028681647,1.26569163,0.038956055,121.4,0.4,,
11-Sep-15,Moonbeam,1,2,Low,0.006690751,0.019650703,1.356882432,0.026341453,137.5,0.14,,
11-Sep-15,Moonbeam,1,3,Low,0.008459489,0.025603185,1.244313999,0.034062674,105.8,0.13,,
11-Sep-15,Jack,1,1,Low,0.015775507,0.062452874,1.157567206,0.078228381,87,0.05,,
11-Sep-15,Jack,1,2,Low,0.007992136,0.031635666,1.347259216,0.039627802,184.9,0.15,,
11-Sep-15,Jack,1,3,Low,0.013074833,0.027609074,1.273800688,0.040683907,142.7,0.42,,
11-Sep-15,Stand Up,1,1,Low,0.002731179,0.003248043,0.326360287,0.005979222,22.1,0.03,,
11-Sep-15,Stand Up,1,2,Low,0.022053372,0.053537483,1.346241754,0.075590855,273.4,0.05,,
11-Sep-15,Stand Up,1,3,Low,0.008939773,0.023410633,1.128292761,0.032350406,116.1,0.2,,
11-Sep-15,Hovey,1,1,High,0.007824036,0.010021251,1.260534304,0.017845287,51.7,0.69,,
11-Sep-15,Hovey,1,2,High,0.013492311,0.028118694,1.368601837,0.041611005,173.5,0.56,,
11-Sep-15,Hovey,1,3,High,0.019326837,0.030776423,1.290156654,0.05010326,136.5,0.4,,
11-Sep-15,Hurley,1,1,High,0.023654935,0.038939235,1.580920877,0.062594169,103.7,0.12,,
11-Sep-15,Hurley,1,2,High,0.022457919,0.020797348,1.391651168,0.043255267,60.4,0.02,,
11-Sep-15,Hurley,1,3,High,0.252665412,0.028601648,1.299939601,0.28126706,61.5,0.02,,
11-Sep-15,Blue,1,1,High,,,,,240.2,0.04,,
11-Sep-15,Blue,1,2,High,,,,,,0.14,,
